Metric,Value
Total RDF Triples,6988636
Pivots,73863
Lexical Entries,417013
Arabic Forms,178790
Canonical Forms,229944
Other Forms,187069
Derivative Forms,41461
Alias Forms,16645
Cross Lingual Links,3805724
